				-	-	Diameter (km)	-	-	-										
Name	Crater Type	Latitude	Longitude	central dome	central pit/ring	rim	rim (predicted)	pedestal	ejecta	rings	Terrace Width	Rimwall Width	Rim Height	Depth	Depth Method	Terrain	Image	Resolution	Note

ZN10:257	CP	10	257	N/A	12	59	N/A			N/A						dc	20617.09	1.7	
ZN35:191	CP	35	191	N/A	10	59	N/A			N/A						dc	20606.25	3.0	
Nirkes	CP	30	164	N/A	9	59	N/A			N/A						dc	20606.25	3.0	
ZS04:273	CP	-4	273	N/A	12	58	N/A			N/A						dc	20617.25	1.7	
ZS13:201	CP	-13	201	N/A	12	57	N/A			N/A						dc	20606.37	3.0	
ZN60:240	CP	60	240	N/A	11	57	N/A			N/A						dc	20616.41	1.7	
ZN07:239	CP	7	239	N/A	10	57	N/A			N/A						dc	20617.21	1.7	
ZS05:231	CP	-5	231	N/A	9	57	N/A			N/A						dc	20617.21	1.7	
Fulla	CP	74	105	N/A	8	57	N/A			N/A				1.23	sh	dc	16428.19	1.3	
ZN48:258	CP	48	258	N/A	12	55	N/A			N/A						dc	20616.57	1.7	
ZN60:246	CP	60	246	N/A	11	54	N/A			N/A						dc	20616.41	1.7	
ZN11:032	CP	11	32	N/A	10	54	N/A			N/A						dc	16424.30	1.1	
ZS03:007	CP	-3	7	N/A	10	54	N/A			N/A						dc	16421.33	1.8	
ZN18:261	CP	18	261	N/A	10	53	N/A			N/A						dc	20617.09	1.7	
ZN44:017	CP	44	17	N/A	10	53	N/A			N/A						dc	16424.46	1.0	
ZN18:229	CP	18	229	N/A	9	53	N/A			N/A						dc	20617.09	1.7	
Freki	CP	80	351	N/A	9	53	N/A			N/A		4.2-6.1		0.77	sh	dc	16426.46	1.0	
ZN44:050	CP	44	50	N/A	11	52	N/A			N/A		4.0-11.0				dc	16424.48	1.0	
ZN30:259	CP	30	259	N/A	11	52	N/A			N/A						dc	20616.57	1.7	fractured floor
