name,lat,lon,diam
 ,-28.589,-24.786,153.267
 ,15.265,136.764,152.736
Magritte,-72.836,121.662,152.588
 ,-27.832,-42.250,152.546
 ,-45.706,140.625,152.466
 ,-34.284,-149.901,151.986
 ,16.797,116.584,151.575
 ,63.691,-48.627,151.451
 ,-20.823,146.046,151.354
Kuan Han-ching,29.603,-53.686,151.156
Moliere,15.512,-17.692,151.029
 ,-18.455,-56.162,150.699
 ,10.159,-48.175,150.657
Derzhavin,45.676,-37.055,150.654
 ,-18.091,53.114,150.178
 ,4.907,108.914,149.918
Bramante,-47.341,-61.579,149.802
 ,48.733,41.374,149.157
 ,-28.520,-166.030,148.626
 ,46.182,-64.524,148.027
Ibsen,-24.384,-35.948,147.898
 ,29.014,-150.826,147.872
Pigalle,-37.488,-9.886,147.732
 ,14.503,107.530,147.662
Sarmiento,-28.889,171.214,147.658
 ,-10.392,150.814,147.261
 ,-11.854,-133.155,147.172
 ,-43.687,57.814,146.918
Jobim,32.503,-66.786,146.680
 ,-20.413,-43.341,146.621
 ,79.864,-152.000,146.578
Boccaccio,-80.911,-21.705,146.575
 ,-23.481,130.609,146.564
Mark Twain,-10.963,-138.280,146.359
 ,-56.894,100.254,146.204
Lysippus,1.007,-132.786,145.977
Sinan,15.705,-30.586,145.967
 ,14.396,6.784,145.910
 ,22.488,-135.019,145.636
Rabelais,-60.489,-62.043,145.583
Shevchenko,-53.561,-46.277,145.266
Goya,-6.929,-152.204,145.169
Kurosawa,-52.702,-21.717,145.131
 ,-58.847,147.832,144.735
 ,-31.789,139.514,144.633
 ,-54.754,-128.276,144.380
 ,-36.169,128.869,144.361
Sullivan,-16.254,-86.925,144.355
Takayoshi,-37.288,-163.786,143.746
 ,-6.018,34.332,143.632
 ,-22.266,24.110,142.631
 ,74.668,141.570,142.523
Liang K'ai,-39.807,175.938,142.307
 ,-42.370,-123.105,142.235
Rubens,60.688,-77.944,142.162
 ,1.493,95.345,142.057
 ,40.190,83.889,141.703
 ,50.000,56.814,141.571
Melville,21.909,-9.930,141.326
Proust,19.689,-47.479,141.000
 ,33.403,99.214,140.831
Dario,-26.230,-9.404,140.810
 ,-0.657,-116.332,140.646
 ,26.756,72.548,140.633
 ,-27.950,30.864,140.118
 ,-2.343,156.604,140.080
Hawthorne,-51.286,-115.186,139.692
Giotto,12.481,-56.648,139.509
 ,-35.562,148.379,139.287
Hiroshige,-13.397,-27.053,138.963
 ,-56.674,-117.216,138.553
 ,-39.068,142.434,138.389
 ,-79.329,51.490,138.339
 ,54.508,-97.796,138.207
 ,-27.445,120.720,138.173
 ,0.257,117.243,137.943
 ,-47.383,13.464,137.914
Verdi,64.190,-169.588,137.729
Sousa,46.755,0.626,137.520
Monteverdi,64.488,-81.100,137.275
 ,41.253,-78.300,137.252
 ,-72.085,-95.689,137.085
Lismer,81.393,165.750,137.035
 ,-51.000,-37.162,136.912
 ,47.981,116.214,136.588
 ,-74.530,-92.450,136.544
 ,-2.786,125.699,136.395
Ustad Isa,-31.884,-166.117,136.370
 ,3.807,135.214,136.207
 ,-20.568,125.906,135.941
Riemenschneider,-52.774,-100.257,135.818
 ,-18.191,-178.286,135.779
 ,29.544,-9.956,135.339
 ,-71.404,-2.230,135.097
 ,-18.791,107.714,134.802
 ,-10.939,48.183,134.657
 ,53.274,57.359,134.468
Botticelli,63.710,-112.711,134.353
 ,51.552,-69.370,134.258
Bello,-18.882,-120.171,133.975
Africanus Horton,-50.986,-41.286,133.951
 ,-14.581,6.195,133.848
 ,-10.159,-168.616,133.835
 ,-43.112,7.417,133.598
Velazquez,37.603,-55.486,133.158
 ,-13.661,-101.719,133.056
 ,2.187,131.270,133.023
Ahmad Baba,58.296,-128.338,133.023
Sayat-Nova,-27.913,-122.497,132.934
 ,-12.011,114.326,132.933
 ,30.604,15.904,132.845
 ,60.810,56.270,132.760
 ,-23.181,-132.946,132.394
 ,-10.157,-104.214,132.372
 ,-32.624,-133.511,131.892
 ,43.921,13.257,131.586
 ,-85.087,164.580,131.574
 ,-63.101,69.365,131.506
 ,37.457,-161.903,131.493
 ,-21.052,-36.078,131.409
Brunelleschi,-8.980,-22.634,131.400
 ,-11.942,-122.206,131.115
 ,-51.264,163.031,130.986
 ,-25.290,177.614,130.832
 ,46.022,-11.781,130.783
Joplin,-38.471,25.645,130.719
 ,3.013,6.778,130.637
 ,12.606,78.214,130.475
Rublev,-15.189,-157.068,130.396
 ,4.457,-141.356,130.048
 ,53.570,-121.686,129.934
 ,-80.514,-118.847,129.852
 ,53.529,70.989,129.703
 ,-8.392,81.014,129.703
Wagner,-68.087,-115.000,129.687
Chopin,-65.612,-123.359,129.556
 ,23.865,-178.410,129.404
Murasaki,-12.522,-30.484,129.177
 ,-14.307,34.736,129.121
 ,3.978,-151.203,128.990
 ,37.003,-172.686,128.935
 ,-62.845,-115.617,128.849
