LONGITUDE_CIRCLE,LATITUDE_CIRCLE,DIAM_CIRCLE
114.22,34.53,6833.53
-53.11,63.07,6835.81
-95.24,-1.64,6840.00
137.68,68.97,6843.81
47.11,38.78,6846.38
-98.54,17.22,6847.10
165.41,16.29,6850.41
-47.61,24.54,6851.96
-3.21,45.53,6853.91
-154.50,4.26,6854.84
49.89,-6.07,6856.30
71.16,-31.40,6856.98
-67.22,-63.84,6859.58
160.46,75.63,6862.75
162.01,11.35,6864.88
-96.77,20.39,6873.25
176.84,21.90,6875.96
36.88,27.75,6879.03
-99.71,18.62,6881.67
89.57,-62.27,6884.11
1.55,-5.63,6884.40
120.23,29.57,6894.73
103.67,20.47,6898.14
9.29,27.45,6901.00
10.28,-26.98,6901.79
149.02,-11.48,6902.44
55.66,63.46,6902.77
50.06,20.32,6906.41
-93.96,18.66,6910.10
8.31,-0.67,6912.46
16.05,62.65,6913.23
-122.95,29.02,6916.97
127.85,78.80,6918.88
-153.45,52.22,6919.04
26.13,25.65,6934.58
22.75,34.64,6934.64
7.88,18.03,6937.76
-120.59,6.19,6945.93
148.05,60.60,6946.76
151.58,-2.40,6955.70
133.29,61.19,6956.61
-116.10,-63.54,6969.11
-148.61,-10.77,6979.18
-99.37,25.00,6991.29
111.79,0.49,7001.99
-72.41,-5.36,7005.62
-82.08,-69.11,7009.96
-108.28,-18.26,7010.18
-111.65,24.38,7013.79
-120.56,21.20,7036.38
128.27,1.96,7042.26
-38.56,62.99,7045.05
130.12,16.58,7050.28
162.29,-1.48,7050.35
-116.25,-0.50,7053.26
-128.22,29.54,7058.90
-159.82,-7.20,7060.73
165.06,-13.55,7062.04
-124.87,-22.64,7062.74
-105.50,31.00,7070.38
60.97,11.30,7077.42
-170.30,24.04,7084.64
6.86,6.40,7093.32
72.17,-38.47,7095.55
98.92,-73.52,7105.65
77.94,-61.59,7110.23
73.05,30.41,7112.71
81.96,-73.82,7115.87
26.12,-40.93,7120.68
-97.20,16.70,7123.59
163.62,17.13,7127.85
-99.38,-33.20,7135.04
26.43,48.68,7138.31
36.00,43.87,7139.17
86.91,36.16,7140.26
71.72,50.06,7143.35
-38.26,-53.34,7144.17
19.98,5.78,7149.89
172.50,35.69,7150.57
50.16,6.53,7152.48
9.32,5.43,7154.46
74.62,-54.30,7157.09
107.96,-34.46,7162.15
-175.84,-38.55,7166.85
-26.92,29.16,7170.92
117.08,-0.54,7173.60
-4.36,41.86,7177.00
153.05,43.11,7180.08
-150.21,-8.28,7186.83
-51.01,73.09,7190.83
69.16,35.76,7201.81
2.47,-60.03,7202.65
-95.84,9.85,7203.87
48.23,33.04,7204.20
-99.78,39.99,7205.89
127.74,40.19,7208.32
-128.01,6.99,7208.32
-160.87,-15.60,7208.55
53.74,48.54,7210.41
-20.84,59.94,7210.89
111.26,39.25,7215.42
141.37,-44.83,7216.23
69.21,14.22,7216.32
21.65,47.22,7217.54
158.69,-7.57,7220.12
39.03,26.34,7223.72
46.27,9.82,7226.59
154.84,17.44,7230.76
110.41,38.78,7240.51
-23.80,-21.85,7240.64
14.93,48.84,7252.41
-82.81,24.02,7256.80
132.17,27.07,7263.85
-68.92,-27.69,7264.53
-40.70,-4.47,7268.11
-40.82,17.00,7269.50
-51.86,-16.77,7271.43
148.62,46.08,7274.06
-178.11,14.41,7280.35
137.34,-38.02,7286.39
145.99,23.61,7296.01
-80.95,-34.50,7298.18
164.41,31.82,7300.00
-156.77,44.23,7303.92
105.38,36.43,7304.13
-91.03,-2.33,7304.33
80.61,24.66,7308.72
-57.22,29.30,7309.04
137.20,-55.89,7310.45
-64.34,-50.47,7317.97
