lat,lon,diameter
34.9,91.2,14.2
-19.3,282.8,14.2
62.1,329.7,14.1
43.4,56.2,14.1
8.9,270.7,14.1
-23.1,105.7,14.1
33.6,298.3,14.0
-60.8,162.2,14.0
30.2,31.2,13.9
11.0,238.5,13.9
-6.4,30.9,13.9
-12.5,308.9,13.9
-47.0,184.8,13.9
2.1,170.2,13.8
60.0,273.1,13.6
51.4,291.8,13.6
-27.3,138.7,13.6
49.8,134.0,13.5
25.6,336.0,13.5
-33.3,276.4,13.5
-46.6,285.6,13.5
10.6,326.4,13.4
27.5,280.3,13.3
20.9,98.8,13.3
-17.9,214.7,13.3
6.0,93.3,13.2
-63.5,56.5,13.2
68.4,91.0,13.1
-4.8,359.2,13.1
-9.0,278.0,13.1
-64.2,232.1,13.1
36.7,1.7,13.0
24.3,253.0,13.0
-19.3,232.6,13.0
-19.8,202.6,13.0
-62.0,70.9,13.0
-68.2,243.6,13.0
32.1,94.8,12.9
-2.3,159.7,12.9
41.1,67.0,12.8
10.6,346.3,12.8
-28.6,60.0,12.7
6.0,331.9,12.6
-9.3,152.8,12.6
51.4,201.6,12.5
-6.0,1.9,12.5
-29.5,205.9,12.5
75.6,96.3,12.4
57.2,144.1,12.4
44.8,254.6,12.4
-30.3,249.2,12.4
-47.5,187.2,12.4
18.4,101.9,12.3
-68.2,121.2,12.3
30.8,172.9,12.2
14.9,86.5,12.2
12.8,117.0,12.2
11.4,347.7,12.2
-46.5,306.4,12.2
-62.9,15.5,12.2
-68.1,193.2,12.2
34.4,19.2,12.1
5.6,273.3,12.1
-40.7,14.8,12.1
-59.0,248.4,12.1
65.1,299.1,12.0
-5.0,97.7,12.0
-21.4,335.2,12.0
-41.2,251.7,12.0
-46.0,229.2,12.0
-49.2,55.5,12.0
-69.9,319.9,12.0
-74.5,211.9,12.0
12.7,9.2,11.9
-20.4,357.2,11.9
-26.5,88.2,11.9
-33.3,280.2,11.9
-44.8,225.6,11.9
-62.8,144.4,11.9
51.1,335.9,11.8
-9.3,157.0,11.8
-48.7,13.5,11.8
64.1,160.4,11.7
9.7,132.1,11.7
1.6,283.9,11.7
-11.2,48.7,11.7
62.2,29.0,11.6
-15.3,85.0,11.6
-31.1,46.5,11.6
-41.4,8.9,11.6
-66.5,270.5,11.6
68.5,155.9,11.5
50.9,242.6,11.5
33.7,185.1,11.5
-50.1,158.1,11.5
26.3,332.7,11.4
6.3,333.5,11.4
-25.6,150.2,11.4
-51.7,348.3,11.4
41.9,22.0,11.3
10.7,206.9,11.3
-13.7,302.3,11.3
-39.1,97.2,11.3
-46.2,157.7,11.3
-49.0,275.9,11.3
64.4,104.5,11.2
37.2,207.9,11.2
12.4,82.7,11.2
-14.5,278.9,11.2
-23.3,132.9,11.2
-23.5,198.2,11.2
-50.9,122.0,11.2
-74.6,195.0,11.2
61.6,317.2,11.1
7.8,152.7,11.1
2.9,262.6,11.1
-6.8,334.1,11.1
-21.1,303.9,11.1
-30.9,293.3,11.1
-37.3,10.6,11.1
67.0,272.9,11.0
53.5,187.3,11.0
48.8,113.1,11.0
40.4,149.4,11.0
28.1,106.9,11.0
15.5,124.0,11.0
-27.9,0.6,11.0
37.5,22.9,10.9
-12.4,307.3,10.9
-27.0,7.8,10.9
53.5,172.6,10.8
51.3,333.3,10.8
23.5,165.4,10.8
0.9,338.7,10.8
-1.5,129.8,10.8
-11.8,298.0,10.8
-12.4,17.7,10.8
-7.7,102.0,10.7
-14.0,87.7,10.7
-68.2,315.3,10.7
12.2,132.4,10.6
4.9,170.9,10.6
-15.8,267.0,10.6
-22.7,318.4,10.6
-41.7,238.1,10.6
67.0,329.7,10.5
34.9,205.8,10.5
28.4,250.1,10.5
-26.1,169.0,10.5
-57.2,151.9,10.5
59.1,215.4,10.5
7.4,249.6,10.4
61.6,267.7,10.3
12.4,124.5,10.3
0.0,142.6,10.3
-0.8,87.4,10.3
-36.1,240.4,10.3
-51.5,184.6,10.3
80.0,229.7,10.2
72.0,175.4,10.2
-12.4,2.8,10.2
-18.9,109.2,10.2
-45.3,348.8,10.1
-62.2,178.6,10.1
-62.4,33.8,10.1
87.3,259.0,10.0
21.2,160.2,10.0
7.8,57.6,10.0
-60.4,304.8,10.0
